invited,user_reco,evt_p_reco,evt_c_reco,user_pop,frnd_infl,evt_pop,interested,not_interested
0,-7.11260350763e-05,0.192949121928,0.192949121928,0.000231013912558,0.0,0.0,0,0
0,-7.11260350763e-05,-3.79898895148e-05,-3.79898895148e-05,0.000231013912558,0.0,-1.15025823297e-05,0,0
0,0.0199232982221,-0.000171044485378,-0.000171044485378,0.000231013912558,0.0,-1.84041317276e-05,1,0
0,-7.11260350763e-05,0.241784576892,0.241784576892,0.000231013912558,0.0,3.22072305233e-05,0,0
0,-7.11260350763e-05,-0.000238930394454,-0.000238930394454,0.000231013912558,0.0,3.91087799211e-05,0,0
0,-7.11260350763e-05,-0.000256367656998,-0.000256367656998,0.000231013912558,0.0,-0.000163336669082,0,0
0,-9.83932821555e-05,0.235080348583,0.235080348583,0.000159726556711,0.0,-4.60103293189e-06,0,0
0,-9.83932821555e-05,-5.01306517013e-05,-5.01306517013e-05,0.000159726556711,0.0,4.3709812853e-05,1,0
0,-9.83932821555e-05,-8.84184065621e-05,-8.84184065621e-05,0.000159726556711,0.0,6.44144610465e-05,1,0
0,-9.83932821555e-05,0.128396106796,0.128396106796,0.000159726556711,0.0,1.38030987957e-05,0,0
0,-9.83932821555e-05,-0.000190435162405,-0.000190435162405,0.000159726556711,0.0,1.38030987957e-05,1,0
0,-9.83932821555e-05,0.0595692719104,0.0595692719104,0.000159726556711,0.0,2.76061975914e-05,0,0
0,-9.83932821555e-05,0.0,0.0,0.000159726556711,0.0,0.000223150097197,0,0
0,0,0,0,7.63793098366e-05,0.0,1.84041317276e-05,1,0
0,0,-0.00059643448477,-0.00059643448477,7.63793098366e-05,0.0,3.91087799211e-05,0,0
0,0,-0.000404494788616,-0.000404494788616,7.63793098366e-05,0.0,0.000172538734946,0,0
0,0,-0.00017229171023,-0.00017229171023,7.63793098366e-05,0.0,9.20206586379e-06,0,0
0,0,0,0,7.63793098366e-05,0.0,0.000236953195993,0,0
0,0,-0.00059643448477,-0.00059643448477,7.63793098366e-05,0.0,6.21139445806e-05,0,0
0,-6.03069180806e-05,0.0,0.0,1.52758619673e-05,0.0,2.53056811254e-05,0,0
0,-6.03069180806e-05,0.0,0.0,1.52758619673e-05,0.0,7.13160104443e-05,0,0
0,-6.03069180806e-05,0.0,0.0,1.52758619673e-05,0.0,0.000269160426516,0,0
0,-6.03069180806e-05,0.0,0.0,1.52758619673e-05,0.0,1.61036152616e-05,1,0
0,-6.03069180806e-05,0.16734421851,0.16734421851,1.52758619673e-05,0.0,2.76061975914e-05,0,0
0,-6.03069180806e-05,0.0,0.0,1.52758619673e-05,0.0,2.30051646595e-05,0,0
0,0,0.499522270039,0.499522270039,0.000425580154458,0.0,-3.45077469892e-05,0,0
0,0,0.0,0.0,0.000425580154458,0.0,-1.61036152616e-05,0,0
0,0,0.499522270039,0.499522270039,0.000425580154458,0.0,-2.76061975914e-05,0,0
0,0,0.499522270039,0.499522270039,0.000425580154458,0.0,0.000179440284344,0,0
0,0,0.0,0.0,0.000425580154458,0.0,-9.20206586379e-06,1,0
0,0,0.300620953789,0.300620953789,0.000425580154458,0.0,3.91087799211e-05,0,0
0,0.0,0.0720476309842,0.0720476309842,0.000313289169119,0.0,1.38030987957e-05,1,0
0,0.0,0.0667376458548,0.0667376458548,0.000313289169119,0.0,3.68082634551e-05,1,0
0,0.0,0.653816825096,0.653816825096,0.000313289169119,0.0,-0.000172538734946,0,0
0,0.0,0.0541957528756,0.0541957528756,0.000313289169119,0.0,3.68082634551e-05,0,0
0,0.0,0.0469701470504,0.0469701470504,0.000313289169119,0.0,0.000200144932537,0,0
0,0.0,-0.000415074212116,-0.000415074212116,0.000313289169119,0.0,2.99067140573e-05,0,0
0,0.0,0.0189320119427,0.0189320119427,0.000313289169119,0.0,2.53056811254e-05,1,0
0,0.0,0.65328411652,0.65328411652,0.000313289169119,0.0,1.38030987957e-05,1,0
0,0.0,0.653816827844,0.653816827844,0.000313289169119,0.0,2.76061975914e-05,0,0
0,0.0,0.00230968656091,0.00230968656091,0.000313289169119,0.0,4.3709812853e-05,0,0
0,0.0,0.390050614978,0.390050614978,0.000313289169119,0.0,1.15025823297e-05,0,0
0,0.0,0.653816825096,0.653816825096,0.000313289169119,0.0,2.30051646595e-06,0,0
0,0.0,0.0677012746439,0.0677012746439,0.000313289169119,0.0,1.84041317276e-05,0,0
