user,event,invited,timestamp,interested,not_interested
3044012,1918771225,0,2012-10-02 15:53:05.754000+00:00,0,0
3044012,1502284248,0,2012-10-02 15:53:05.754000+00:00,0,0
3044012,2529072432,0,2012-10-02 15:53:05.754000+00:00,1,0
3044012,3072478280,0,2012-10-02 15:53:05.754000+00:00,0,0
3044012,1390707377,0,2012-10-02 15:53:05.754000+00:00,0,0
3044012,1532377761,0,2012-10-02 15:53:05.754000+00:00,0,0
4236494,2352676247,0,2012-10-30 01:48:25.617000+00:00,0,0
4236494,152418051,0,2012-10-30 01:48:28.645000+00:00,1,0
4236494,4203627753,0,2012-10-30 01:49:14.152000+00:00,1,0
4236494,110357109,0,2012-10-30 01:48:25.617000+00:00,0,0
4236494,799782433,0,2012-10-30 01:48:25.617000+00:00,1,0
4236494,823015621,0,2012-10-30 01:48:25.617000+00:00,0,0
4236494,2790605371,0,2012-10-30 01:48:25.617000+00:00,0,0
5574997,941853303,0,2012-11-18 21:43:36.519000+00:00,1,0
5574997,623506969,0,2012-11-18 21:43:36.519000+00:00,0,0
5574997,1116957623,0,2012-11-18 21:43:36.519000+00:00,0,0
5574997,1423412400,0,2012-11-18 21:43:36.519000+00:00,0,0
5574997,1916133216,0,2012-11-18 21:43:36.519000+00:00,0,0
5574997,4227005710,0,2012-11-18 21:43:36.519000+00:00,0,0
7547671,3891122666,0,2012-12-06 13:40:49.700000+00:00,0,0
7547671,1500808029,0,2012-12-06 13:40:49.700000+00:00,0,0
7547671,2573061069,0,2012-12-06 13:40:49.700000+00:00,0,0
7547671,1228445722,0,2012-12-06 13:40:49.700000+00:00,1,0
7547671,2433864694,0,2012-12-06 13:40:49.700000+00:00,0,0
7547671,3428807031,0,2012-12-06 13:40:49.700000+00:00,0,0
10329108,1287318780,0,2012-11-07 03:05:24.446000+00:00,0,0
10329108,600752472,0,2012-11-07 03:05:24.446000+00:00,0,0
10329108,1940922842,0,2012-11-07 03:05:24.446000+00:00,0,0
10329108,788687116,0,2012-11-07 03:05:24.446000+00:00,0,0
10329108,40254649,0,2012-11-07 03:05:24.446000+00:00,1,0
10329108,86565862,0,2012-11-07 03:05:24.446000+00:00,0,0
13301498,3950787980,0,2012-11-07 12:30:08.950000+00:00,1,0
13301498,3499428374,0,2012-11-07 12:30:04.340000+00:00,1,0
13301498,3802650890,0,2012-11-07 12:30:04.340000+00:00,0,0
13301498,97217712,0,2012-10-24 01:00:14.160000+00:00,0,0
13301498,2401458775,0,2012-10-24 01:00:14.160000+00:00,0,0
13301498,1737420203,0,2012-10-24 01:00:14.160000+00:00,0,0
13301498,907302600,0,2012-10-24 01:00:14.160000+00:00,1,0
13301498,457253413,0,2012-11-07 12:30:15.535000+00:00,1,0
13301498,2198969023,0,2012-10-24 01:00:14.160000+00:00,0,0
13301498,955398943,0,2012-10-24 01:00:14.160000+00:00,0,0
13301498,151676688,0,2012-11-07 12:30:04.340000+00:00,0,0
13301498,4059184428,0,2012-11-07 12:30:04.340000+00:00,0,0
13301498,4002702641,0,2012-11-07 12:30:04.340000+00:00,0,0
13301498,1667438718,0,2012-11-07 12:30:04.340000+00:00,0,0
14411090,753115138,0,2012-11-06 09:35:59.484000+00:00,1,0
14411090,825060275,0,2012-11-06 09:35:49.059000+00:00,0,0
14411090,1065213296,0,2012-11-06 09:35:49.059000+00:00,0,0
14411090,4193771689,0,2012-11-06 09:35:49.059000+00:00,0,0
14411090,3956443206,0,2012-11-06 09:35:49.059000+00:00,0,0
14411090,1073827062,0,2012-11-06 09:35:49.059000+00:00,1,0
15469418,1790004322,0,2012-10-05 18:47:40.797000+00:00,0,0
15469418,955398943,0,2012-10-05 18:47:40.797000+00:00,0,0
15469418,986099040,0,2012-10-05 18:47:40.797000+00:00,0,0
15469418,445373500,0,2012-10-05 18:47:40.797000+00:00,0,0
15469418,3794224297,0,2012-10-05 18:47:40.797000+00:00,0,0
15469418,3234409400,0,2012-10-05 18:47:40.797000+00:00,1,0
16210231,807439632,0,2012-10-28 03:38:41.513000+00:00,0,0
16210231,821546192,0,2012-10-28 03:38:48.074000+00:00,1,0
16210231,2325542576,0,2012-10-28 03:38:52.163000+00:00,1,0
16210231,2415873572,0,2012-10-28 03:38:41.513000+00:00,0,0
16210231,3946619910,0,2012-10-28 03:38:41.513000+00:00,0,0
16210231,663435595,0,2012-10-28 03:38:41.513000+00:00,0,0
16210231,4197279783,0,2012-10-28 03:38:41.513000+00:00,1,0
19283444,4110062919,0,2012-08-14 22:12:06.900000+00:00,0,0
19283444,3789409122,0,2012-08-14 22:12:06.900000+00:00,1,0
19283444,3166529318,0,2012-08-14 22:12:06.900000+00:00,0,0
19283444,3610133881,0,2012-08-14 22:12:06.900000+00:00,0,0
19283444,312133462,0,2012-08-14 22:12:06.900000+00:00,0,0
19283444,4293596113,0,2012-08-14 22:12:06.900000+00:00,0,0
20041353,185968523,0,2012-10-01 13:48:05.535000+00:00,0,0
20041353,2412834294,0,2012-10-01 13:48:05.535000+00:00,0,0
20041353,25669535,0,2012-10-01 13:48:05.535000+00:00,0,0
20041353,4108853194,0,2012-10-01 13:48:05.535000+00:00,0,0
20041353,2373204206,0,2012-10-01 13:48:05.535000+00:00,0,0
20041353,813808366,0,2012-10-01 13:48:05.535000+00:00,1,0
22840021,2768891421,0,2012-10-24 20:40:33.908000+00:00,1,0
22840021,3223028808,0,2012-10-24 20:40:33.908000+00:00,0,0
22840021,1359259009,0,2012-10-24 20:40:33.908000+00:00,0,0
22840021,2597139611,0,2012-10-24 20:40:33.908000+00:00,0,0
22840021,935931560,0,2012-10-24 20:40:33.908000+00:00,0,0
22840021,2985774237,0,2012-10-24 20:40:33.908000+00:00,0,0
23150045,692753668,0,2012-10-07 01:01:06.034000+00:00,0,0
23150045,735593165,0,2012-10-07 01:01:06.034000+00:00,1,0
23150045,3328980614,0,2012-10-07 01:01:06.034000+00:00,0,0
23150045,2705316616,0,2012-10-07 01:01:06.034000+00:00,0,0
23150045,2126750158,0,2012-10-07 01:01:06.034000+00:00,0,0
23150045,1373703897,0,2012-10-07 01:01:06.034000+00:00,0,0
23170479,2776357538,0,2012-10-05 06:42:30.865000+00:00,1,0
23170479,1390707377,0,2012-10-05 06:42:30.348000+00:00,1,0
23170479,2529072432,0,2012-10-05 06:42:29.831000+00:00,1,0
23170479,2142755647,0,2012-10-05 06:43:21.948000+00:00,1,0
23170479,4182729306,0,2012-10-11 04:37:32.086000+00:00,0,0
23170479,1063306856,0,2012-10-11 04:37:32.086000+00:00,0,0
23170479,813650546,0,2012-10-05 06:43:14.203000+00:00,1,0
23170479,3735036412,0,2012-10-11 04:37:32.086000+00:00,0,0
23170479,2099424186,0,2012-10-11 04:37:32.086000+00:00,0,0
23170479,2753736442,0,2012-10-11 04:37:32.086000+00:00,0,0
23170479,1532377761,0,2012-10-05 06:42:24.775000+00:00,1,0
23170479,861118590,0,2012-10-11 04:37:32.086000+00:00,1,0
23170479,3632072502,0,2012-10-05 06:43:20.336000+00:00,1,0
23170479,1044854627,0,2012-10-05 06:43:09.621000+00:00,1,0
23170479,955398943,0,2012-10-05 06:42:21.742000+00:00,1,0
23170479,1996503357,0,2012-10-05 06:42:21.742000+00:00,0,0
23170479,2782403445,0,2012-10-05 06:42:21.742000+00:00,0,0
23170479,1753679456,0,2012-10-05 06:42:21.742000+00:00,0,0
23170479,3985899647,0,2012-10-05 06:42:21.742000+00:00,0,0
23170479,2405536413,0,2012-10-05 06:42:21.742000+00:00,0,0
23170479,1600413013,0,2012-10-05 06:42:35.405000+00:00,1,0
24978365,1850381877,0,2012-10-30 09:25:19.208000+00:00,0,0
24978365,2624370380,0,2012-10-30 09:25:19.208000+00:00,1,0
24978365,2781682830,0,2012-10-30 09:25:19.208000+00:00,0,0
24978365,1233165674,0,2012-10-30 09:25:19.208000+00:00,0,0
24978365,1241270051,0,2012-10-30 09:25:19.208000+00:00,0,0
24978365,1325647788,0,2012-10-30 09:25:19.208000+00:00,0,0
26389537,1390707377,0,2012-10-05 12:51:22.928000+00:00,0,0
26389537,1600413013,0,2012-10-05 12:51:23.927000+00:00,1,0
26389537,955398943,0,2012-10-05 12:51:23.901000+00:00,1,0
26389537,999665321,0,2012-10-05 12:51:22.928000+00:00,0,0
26389537,2529072432,0,2012-10-05 12:51:22.928000+00:00,0,0
26389537,1532377761,0,2012-10-05 12:51:22.928000+00:00,1,0
26389537,813808366,0,2012-10-05 12:51:22.928000+00:00,0,0
26389537,1936167908,0,2012-10-05 12:51:22.928000+00:00,0,0
26389537,1044854627,0,2012-10-05 12:51:24.462000+00:00,1,0
28806872,915403718,0,2012-11-03 15:26:46.507000+00:00,1,0
28806872,3222758405,0,2012-11-03 15:26:46.507000+00:00,0,0
28806872,3928440935,0,2012-11-03 15:26:46.507000+00:00,0,0
28806872,4258442948,0,2012-11-03 15:26:46.507000+00:00,0,0
28806872,569347123,0,2012-11-03 15:26:46.507000+00:00,0,0
29002074,2940200534,0,2012-11-17 19:43:28.249000+00:00,0,0
29002074,3743521539,0,2012-11-17 19:43:28.249000+00:00,0,0
29002074,965748273,0,2012-11-17 19:43:28.249000+00:00,1,0
29002074,2876585126,0,2012-11-17 19:43:28.249000+00:00,0,0
29002074,4126236405,0,2012-11-17 19:43:28.249000+00:00,0,0
29002074,2653549574,0,2012-11-17 19:43:28.249000+00:00,0,0
33930603,1807884467,0,2012-11-22 06:34:03.692000+00:00,0,0
33930603,35091389,0,2012-11-22 06:34:03.692000+00:00,0,0
33930603,55071868,0,2012-11-22 06:34:03.692000+00:00,0,0
33930603,156494494,0,2012-11-22 06:34:03.692000+00:00,1,0
33930603,2590444754,0,2012-11-22 06:34:03.692000+00:00,0,0
33966018,654190097,1,2012-09-30 18:43:47.094000+00:00,0,0
33966018,1166537634,0,2012-09-30 18:43:47.094000+00:00,0,0
33966018,1930060947,0,2012-09-30 18:43:47.094000+00:00,0,0
33966018,4182465191,0,2012-09-30 18:43:47.094000+00:00,0,0
33966018,2608593001,0,2012-09-30 18:43:47.094000+00:00,1,0
33966018,1452693270,1,2012-09-30 18:43:47.094000+00:00,0,0
